Word,Pronunciation,Vietnamese,Part_of_Speech,Example_Sentence,Fill_in_Blank_Question,Fill_in_Blank_Answer
heartless,/ˈhɑːtləs/,vô tâm nhẫn tâm,adj,"It was heartless to fire him.","How could you be so _______ to ignore her tears?",heartless
industrious,/ɪnˈdʌstriəs/,cần cù siêng năng chăm chỉ,adj,"She's an industrious student.","_______ workers often get promoted faster.",industrious
intelligent,/ɪnˈtelɪdʒənt/,thông minh sáng dạ nhanh trí,adj,"He's very intelligent.","An _______ person can solve problems quickly.",intelligent
lazy,/ˈleɪzi/,lười biếng,adj,"Don't be lazy about homework.","The _______ cat slept all day in the sun.",lazy
absent-minded,/ˈæbsənt ˈmaɪndɪd/,đãng trí,adj,"He's very absent-minded.","An _______ _______ person who is shy and nervous; not brave.",timid
adventurous,/ədˈventʃərəs/,thích phiêu lưu,adj,"She's adventurous and loves travel.","_______ people enjoy trying new experiences.",adventurous
aggressive,/əˈgresɪv/,hung hô hung hăng hiếu chiến,adj,"He can be aggressive in debates.","Don't be too _______ when negotiating.",aggressive
ambitious,/æmˈbɪʃəs/,đầy tham vọng,adj,"She's ambitious about her career.","An _______ person works hard to achieve goals.",ambitious
amusing,/əˈmjuːzɪŋ/,làm cho buồn cười,adj,"He told amusing stories.","The comedian's jokes were very _______.",amusing
arrogant,/ˈærəgənt/,kiêu căng kiêu ngạo,adj,"Success made him arrogant.","Don't be _______ about your achievements.",arrogant
brave,/breɪv/,dũng cảm,adj,"The brave firefighter saved lives.","It was _______ of her to speak up.",brave
bright,/braɪt/,sáng sủa thông minh,adj,"She's a bright student.","The _______ child learned quickly.",bright
careless,/ˈkeələs/,bất cẩn cẩu thả,adj,"Careless driving causes accidents.","Don't be _______ with important documents.",careless
cheeky,/ˈtʃiːki/,hỗn xược,adj,"The cheeky child made faces.","Don't be _______ to your teachers.",cheeky
clever,/ˈklevə/,thông minh,adj,"That was a clever solution.","She's _______ at solving puzzles.",clever
confident,/ˈkɒnfɪdənt/,tự tin,adj,"He felt confident about the test.","A _______ speaker engages the audience.",confident
cowardly,/ˈkaʊədli/,nhát gan,adj,"It was cowardly to run away.","Don't be _______ when facing challenges.",cowardly
decisive,/dɪˈsaɪsɪv/,kiên quyết dứt khoát quyết đoán,adj,"A good leader is decisive.","Be _______ when making important choices.",decisive
easy-going,/ˈiːzi ˈgəʊɪŋ/,dịu dàng dễ tính dễ gần,adj,"He's very easy-going.","An _______ person is relaxed and flexible.",easy-going
loving,/ˈlʌvɪŋ/,âu yếm đầm ấm,adj,"She comes from a loving family.","A _______ parent shows affection to children.",loving
optimistic,/ˌɒptɪˈmɪstɪk/,lạc quan,adj,"Stay optimistic about the future.","An _______ person sees the bright side.",optimistic
pessimistic,/ˌpesɪˈmɪstɪk/,bi quan,adj,"Don't be pessimistic about everything.","_______ people expect the worst outcomes.",pessimistic
picky,/ˈpɪki/,cầu kỳ kiểu cách kén cá chọn canh,adj,"She's picky about food.","Don't be too _______ when choosing clothes.",picky
punctual,/ˈpʌŋktʃuəl/,có tính đúng giờ,adj,"Always be punctual for meetings.","A _______ person arrives on time.",punctual
self-centred,/self ˈsentəd/,chỉ biết mình,adj,"He's too self-centred.","_______ people only think about themselves.",self-centred
sensitive,/ˈsensətɪv/,nhạy cảm có sự cảm kích,adj,"She's sensitive to criticism.","Be careful - he's very _______ about his weight.",sensitive
sociable,/ˈsəʊʃəbəl/,dễ gần chan hòa hòa đồng,adj,"She's naturally sociable.","_______ people enjoy meeting new friends.",sociable
stingy,/ˈstɪndʒi/,keo kiệt bủn xỉn,adj,"He's too stingy with money.","Don't be _______ when tipping waiters.",stingy
tetchy,/ˈtetʃi/,hay bực mình cáu kỉnh cáu nhau,adj,"He gets tetchy when tired.","She becomes _______ when hungry.",tetchy
timid,/ˈtɪmɪd/,rụt rè nhút nhát bẽn lẽn dễ sợ hãi,adj,"The timid child hid behind mother.","Don't be so _______ - speak up!",timid
vain,/veɪn/,kiêu ngạo tự phụ tự đắc,adj,"She's vain about her appearance.","_______ people spend hours looking in mirrors.",vain
witty,/ˈwɪti/,hóm hỉnh dí dỏm,adj,"He made witty comments.","A _______ person makes clever jokes.",witty
